vendor_id,booth_number,market_date
1,2,2022-04-05
3,1,2022-04-05
4,7,2022-04-05
7,11,2022-04-05
8,6,2022-04-05
9,8,2022-04-05
1,2,2022-04-08
3,1,2022-04-08
4,7,2022-04-08
7,11,2022-04-08
8,6,2022-04-08
9,8,2022-04-08
1,7,2022-04-12
3,1,2022-04-12
4,2,2022-04-12
7,11,2022-04-12
8,6,2022-04-12
9,8,2022-04-12
1,2,2022-04-15
3,1,2022-04-15
4,7,2022-04-15
7,11,2022-04-15
8,6,2022-04-15
9,8,2022-04-15
1,2,2022-04-19
3,1,2022-04-19
4,7,2022-04-19
7,11,2022-04-19
8,6,2022-04-19
9,8,2022-04-19
1,2,2022-04-22
3,1,2022-04-22
4,7,2022-04-22
7,11,2022-04-22
8,6,2022-04-22
9,8,2022-04-22
1,2,2022-04-26
3,1,2022-04-26
4,7,2022-04-26
7,11,2022-04-26
8,6,2022-04-26
9,8,2022-04-26
1,2,2022-04-29
3,1,2022-04-29
4,7,2022-04-29
7,11,2022-04-29
8,6,2022-04-29
9,8,2022-04-29
1,2,2022-05-03
3,1,2022-05-03
4,7,2022-05-03
7,11,2022-05-03
8,6,2022-05-03
9,8,2022-05-03
1,2,2022-05-06
3,1,2022-05-06
4,7,2022-05-06
7,11,2022-05-06
8,6,2022-05-06
9,8,2022-05-06
1,2,2022-05-10
3,1,2022-05-10
4,7,2022-05-10
7,11,2022-05-10
8,6,2022-05-10
9,8,2022-05-10
1,2,2022-05-13
3,1,2022-05-13
4,7,2022-05-13
7,11,2022-05-13
8,6,2022-05-13
9,8,2022-05-13
1,2,2022-05-17
3,1,2022-05-17
4,7,2022-05-17
7,11,2022-05-17
8,6,2022-05-17
9,8,2022-05-17
1,2,2022-05-20
3,1,2022-05-20
4,7,2022-05-20
7,11,2022-05-20
8,6,2022-05-20
9,8,2022-05-20
1,2,2022-05-24
3,1,2022-05-24
4,7,2022-05-24
7,11,2022-05-24
8,6,2022-05-24
9,8,2022-05-24
1,2,2022-05-27
3,1,2022-05-27
4,7,2022-05-27
7,11,2022-05-27
8,6,2022-05-27
9,8,2022-05-27
1,2,2022-05-31
3,1,2022-05-31
4,7,2022-05-31
7,11,2022-05-31
8,6,2022-05-31
9,8,2022-05-31
1,2,2022-06-03
3,1,2022-06-03
4,7,2022-06-03
4,11,2022-06-03
7,11,2022-06-03
8,6,2022-06-03
9,8,2022-06-03
1,2,2022-06-07
3,1,2022-06-07
4,7,2022-06-07
4,11,2022-06-07
7,11,2022-06-07
8,6,2022-06-07
9,8,2022-06-07
1,2,2022-06-10
3,1,2022-06-10
4,7,2022-06-10
4,11,2022-06-10
7,11,2022-06-10
8,6,2022-06-10
9,8,2022-06-10
1,2,2022-06-14
3,1,2022-06-14
4,7,2022-06-14
4,11,2022-06-14
7,11,2022-06-14
8,6,2022-06-14
9,8,2022-06-14
1,2,2022-06-17
3,1,2022-06-17
4,7,2022-06-17
4,11,2022-06-17
7,11,2022-06-17
8,6,2022-06-17
9,8,2022-06-17
1,2,2022-06-21
3,1,2022-06-21
4,7,2022-06-21
4,11,2022-06-21
7,11,2022-06-21
8,6,2022-06-21
9,8,2022-06-21
1,2,2022-06-24
3,1,2022-06-24
4,7,2022-06-24
4,11,2022-06-24
7,11,2022-06-24
8,6,2022-06-24
9,8,2022-06-24
1,2,2022-06-28
3,1,2022-06-28
4,7,2022-06-28
4,11,2022-06-28
7,11,2022-06-28
8,6,2022-06-28
9,8,2022-06-28
1,2,2022-07-01
3,1,2022-07-01
4,7,2022-07-01
4,11,2022-07-01
7,11,2022-07-01
8,6,2022-07-01
9,8,2022-07-01
1,2,2022-07-05
3,1,2022-07-05
4,7,2022-07-05
4,11,2022-07-05
7,11,2022-07-05
8,10,2022-07-05
9,8,2022-07-05
1,2,2022-07-08
3,1,2022-07-08
4,7,2022-07-08
4,11,2022-07-08
7,11,2022-07-08
8,10,2022-07-08
9,8,2022-07-08
1,2,2022-07-12
3,1,2022-07-12
4,7,2022-07-12
4,11,2022-07-12
7,11,2022-07-12
8,10,2022-07-12
9,8,2022-07-12
1,2,2022-07-15
3,1,2022-07-15
4,7,2022-07-15
4,11,2022-07-15
7,11,2022-07-15
8,10,2022-07-15
9,8,2022-07-15
1,2,2022-07-19
3,1,2022-07-19
4,7,2022-07-19
4,11,2022-07-19
7,11,2022-07-19
8,10,2022-07-19
9,8,2022-07-19
1,2,2022-07-22
3,1,2022-07-22
4,7,2022-07-22
4,11,2022-07-22
7,11,2022-07-22
8,10,2022-07-22
9,8,2022-07-22
1,2,2022-07-26
3,1,2022-07-26
4,7,2022-07-26
4,11,2022-07-26
7,11,2022-07-26
8,10,2022-07-26
9,8,2022-07-26
1,2,2022-07-29
3,1,2022-07-29
4,7,2022-07-29
4,11,2022-07-29
7,11,2022-07-29
8,10,2022-07-29
9,8,2022-07-29
1,2,2022-08-02
3,1,2022-08-02
4,7,2022-08-02
4,11,2022-08-02
7,11,2022-08-02
8,10,2022-08-02
9,8,2022-08-02
1,2,2022-08-05
3,1,2022-08-05
4,7,2022-08-05
4,11,2022-08-05
7,11,2022-08-05
8,10,2022-08-05
9,8,2022-08-05
1,2,2022-08-09
3,1,2022-08-09
4,7,2022-08-09
4,11,2022-08-09
7,11,2022-08-09
8,10,2022-08-09
9,8,2022-08-09
1,2,2022-08-12
3,1,2022-08-12
4,7,2022-08-12
4,11,2022-08-12
7,11,2022-08-12
8,10,2022-08-12
9,8,2022-08-12
1,2,2022-08-16
3,1,2022-08-16
4,7,2022-08-16
4,11,2022-08-16
7,11,2022-08-16
8,10,2022-08-16
9,8,2022-08-16
1,2,2022-08-19
3,1,2022-08-19
4,7,2022-08-19
4,11,2022-08-19
7,11,2022-08-19
8,10,2022-08-19
9,8,2022-08-19
1,2,2022-08-23
3,1,2022-08-23
4,7,2022-08-23
4,11,2022-08-23
7,11,2022-08-23
8,10,2022-08-23
9,8,2022-08-23
1,2,2022-08-26
3,1,2022-08-26
4,7,2022-08-26
4,11,2022-08-26
7,11,2022-08-26
8,10,2022-08-26
9,8,2022-08-26
1,2,2022-08-30
3,1,2022-08-30
4,7,2022-08-30
4,11,2022-08-30
7,11,2022-08-30
8,10,2022-08-30
9,8,2022-08-30
1,2,2022-09-02
3,1,2022-09-02
4,7,2022-09-02
4,11,2022-09-02
7,11,2022-09-02
8,10,2022-09-02
9,8,2022-09-02
1,2,2022-09-06
3,1,2022-09-06
4,7,2022-09-06
4,11,2022-09-06
7,11,2022-09-06
8,10,2022-09-06
9,8,2022-09-06
1,2,2022-09-09
3,1,2022-09-09
4,7,2022-09-09
4,11,2022-09-09
7,11,2022-09-09
8,10,2022-09-09
9,8,2022-09-09
1,2,2022-09-13
3,1,2022-09-13
4,7,2022-09-13
4,11,2022-09-13
7,11,2022-09-13
8,10,2022-09-13
9,8,2022-09-13
1,2,2022-09-16
3,1,2022-09-16
4,7,2022-09-16
4,11,2022-09-16
7,11,2022-09-16
8,10,2022-09-16
9,8,2022-09-16
1,2,2022-09-20
3,1,2022-09-20
4,7,2022-09-20
4,11,2022-09-20
7,11,2022-09-20
8,10,2022-09-20
9,8,2022-09-20
1,2,2022-09-23
3,1,2022-09-23
4,7,2022-09-23
4,11,2022-09-23
7,11,2022-09-23
8,10,2022-09-23
9,8,2022-09-23
1,2,2022-09-27
3,1,2022-09-27
4,7,2022-09-27
4,11,2022-09-27
7,11,2022-09-27
8,10,2022-09-27
9,8,2022-09-27
1,2,2022-09-30
3,1,2022-09-30
4,7,2022-09-30
4,11,2022-09-30
7,11,2022-09-30
8,10,2022-09-30
9,8,2022-09-30
1,2,2022-10-04
3,1,2022-10-04
4,7,2022-10-04
7,11,2022-10-04
8,6,2022-10-04
9,8,2022-10-04
1,2,2022-10-07
3,1,2022-10-07
4,7,2022-10-07
7,11,2022-10-07
8,6,2022-10-07
9,8,2022-10-07
1,2,2022-10-11
3,1,2022-10-11
4,7,2022-10-11
7,11,2022-10-11
8,6,2022-10-11
9,8,2022-10-11
1,2,2022-10-14
3,1,2022-10-14
4,7,2022-10-14
7,11,2022-10-14
8,6,2022-10-14
9,8,2022-10-14
1,2,2022-10-18
3,1,2022-10-18
4,7,2022-10-18
7,11,2022-10-18
8,6,2022-10-18
9,8,2022-10-18
1,2,2022-10-21
3,1,2022-10-21
4,7,2022-10-21
7,11,2022-10-21
8,6,2022-10-21
9,8,2022-10-21
1,2,2022-10-25
3,1,2022-10-25
4,7,2022-10-25
7,11,2022-10-25
8,6,2022-10-25
9,8,2022-10-25
1,2,2022-10-28
3,1,2022-10-28
4,7,2022-10-28
7,11,2022-10-28
8,6,2022-10-28
9,8,2022-10-28
1,2,2022-11-01
3,1,2022-11-01
4,7,2022-11-01
7,11,2022-11-01
8,6,2022-11-01
9,8,2022-11-01
1,2,2022-11-04
3,1,2022-11-04
4,7,2022-11-04
7,11,2022-11-04
8,6,2022-11-04
9,8,2022-11-04
1,2,2022-11-08
3,1,2022-11-08
4,7,2022-11-08
7,11,2022-11-08
8,6,2022-11-08
9,8,2022-11-08
1,2,2022-11-11
3,1,2022-11-11
4,7,2022-11-11
7,11,2022-11-11
8,6,2022-11-11
9,8,2022-11-11
1,2,2022-11-15
3,1,2022-11-15
4,7,2022-11-15
7,11,2022-11-15
8,6,2022-11-15
9,8,2022-11-15
1,2,2022-11-18
3,1,2022-11-18
4,7,2022-11-18
7,11,2022-11-18
8,6,2022-11-18
9,8,2022-11-18
1,2,2022-11-22
3,1,2022-11-22
4,7,2022-11-22
7,11,2022-11-22
8,6,2022-11-22
9,8,2022-11-22
1,2,2022-11-25
3,1,2022-11-25
4,7,2022-11-25
7,11,2022-11-25
8,6,2022-11-25
9,8,2022-11-25
1,2,2022-11-29
3,1,2022-11-29
4,7,2022-11-29
7,11,2022-11-29
8,6,2022-11-29
9,8,2022-11-29
1,2,2022-12-02
3,1,2022-12-02
4,7,2022-12-02
7,11,2022-12-02
8,6,2022-12-02
9,8,2022-12-02
1,2,2022-12-06
3,1,2022-12-06
4,7,2022-12-06
7,11,2022-12-06
8,6,2022-12-06
9,8,2022-12-06
1,2,2022-12-09
3,1,2022-12-09
4,7,2022-12-09
7,11,2022-12-09
8,6,2022-12-09
9,8,2022-12-09
1,2,2022-12-13
3,1,2022-12-13
4,7,2022-12-13
7,11,2022-12-13
8,6,2022-12-13
9,8,2022-12-13
1,2,2022-12-16
3,1,2022-12-16
4,7,2022-12-16
7,11,2022-12-16
8,6,2022-12-16
9,8,2022-12-16
1,2,2022-12-20
3,1,2022-12-20
4,7,2022-12-20
7,11,2022-12-20
8,6,2022-12-20
9,8,2022-12-20
1,2,2022-12-23
3,1,2022-12-23
4,7,2022-12-23
7,11,2022-12-23
8,6,2022-12-23
9,8,2022-12-23
1,2,2022-12-27
3,1,2022-12-27
4,7,2022-12-27
7,11,2022-12-27
8,6,2022-12-27
9,8,2022-12-27
1,2,2022-12-30
3,1,2022-12-30
4,7,2022-12-30
7,11,2022-12-30
8,6,2022-12-30
9,8,2022-12-30
1,2,2023-03-07
3,1,2023-03-07
4,7,2023-03-07
7,11,2023-03-07
8,6,2023-03-07
9,8,2023-03-07
1,2,2023-03-10
3,1,2023-03-10
4,7,2023-03-10
7,11,2023-03-10
8,6,2023-03-10
9,8,2023-03-10
1,2,2023-03-14
3,1,2023-03-14
4,7,2023-03-14
7,11,2023-03-14
8,6,2023-03-14
9,8,2023-03-14
1,2,2023-03-17
3,1,2023-03-17
4,7,2023-03-17
7,11,2023-03-17
8,6,2023-03-17
9,8,2023-03-17
1,2,2023-03-21
3,1,2023-03-21
4,7,2023-03-21
7,11,2023-03-21
8,6,2023-03-21
9,8,2023-03-21
1,2,2023-03-24
3,1,2023-03-24
4,7,2023-03-24
7,11,2023-03-24
8,6,2023-03-24
9,8,2023-03-24
1,2,2023-03-28
3,1,2023-03-28
4,7,2023-03-28
7,11,2023-03-28
8,6,2023-03-28
9,8,2023-03-28
1,2,2023-03-31
3,1,2023-03-31
4,7,2023-03-31
7,11,2023-03-31
8,6,2023-03-31
9,8,2023-03-31
1,2,2023-04-04
3,1,2023-04-04
4,7,2023-04-04
7,11,2023-04-04
8,6,2023-04-04
9,8,2023-04-04
1,2,2023-04-07
3,1,2023-04-07
4,7,2023-04-07
7,11,2023-04-07
8,6,2023-04-07
9,8,2023-04-07
1,2,2023-04-11
3,1,2023-04-11
4,7,2023-04-11
7,11,2023-04-11
8,6,2023-04-11
9,8,2023-04-11
1,2,2023-04-14
3,1,2023-04-14
4,7,2023-04-14
7,11,2023-04-14
8,6,2023-04-14
9,8,2023-04-14
1,2,2023-04-18
3,1,2023-04-18
4,7,2023-04-18
7,11,2023-04-18
8,6,2023-04-18
9,8,2023-04-18
1,2,2023-04-21
3,1,2023-04-21
4,7,2023-04-21
7,11,2023-04-21
8,6,2023-04-21
9,8,2023-04-21
1,2,2023-04-25
3,1,2023-04-25
4,7,2023-04-25
7,11,2023-04-25
8,6,2023-04-25
9,8,2023-04-25
1,2,2023-04-28
3,1,2023-04-28
4,7,2023-04-28
7,11,2023-04-28
8,6,2023-04-28
9,8,2023-04-28
1,2,2023-05-02
3,1,2023-05-02
4,7,2023-05-02
7,11,2023-05-02
8,6,2023-05-02
9,8,2023-05-02
1,2,2023-05-05
3,1,2023-05-05
4,7,2023-05-05
7,11,2023-05-05
8,6,2023-05-05
9,8,2023-05-05
1,2,2023-05-09
3,1,2023-05-09
4,7,2023-05-09
7,11,2023-05-09
8,6,2023-05-09
9,8,2023-05-09
1,2,2023-05-12
3,1,2023-05-12
4,7,2023-05-12
7,11,2023-05-12
8,6,2023-05-12
9,8,2023-05-12
1,2,2023-05-16
3,1,2023-05-16
4,7,2023-05-16
7,11,2023-05-16
8,6,2023-05-16
9,8,2023-05-16
1,2,2023-05-19
3,1,2023-05-19
4,7,2023-05-19
7,11,2023-05-19
8,6,2023-05-19
9,8,2023-05-19
1,2,2023-05-23
3,1,2023-05-23
4,7,2023-05-23
7,11,2023-05-23
8,6,2023-05-23
9,8,2023-05-23
1,2,2023-05-26
3,1,2023-05-26
4,7,2023-05-26
7,11,2023-05-26
8,6,2023-05-26
9,8,2023-05-26
1,2,2023-05-30
3,1,2023-05-30
4,7,2023-05-30
7,11,2023-05-30
8,6,2023-05-30
9,8,2023-05-30
1,2,2023-06-02
3,1,2023-06-02
4,7,2023-06-02
7,11,2023-06-02
8,6,2023-06-02
9,8,2023-06-02
1,2,2023-06-06
3,1,2023-06-06
4,7,2023-06-06
4,11,2023-06-06
7,11,2023-06-06
8,6,2023-06-06
9,8,2023-06-06
1,2,2023-06-09
3,1,2023-06-09
4,7,2023-06-09
4,11,2023-06-09
7,11,2023-06-09
8,6,2023-06-09
9,8,2023-06-09
1,2,2023-06-13
3,1,2023-06-13
4,7,2023-06-13
4,11,2023-06-13
7,11,2023-06-13
8,6,2023-06-13
9,8,2023-06-13
1,2,2023-06-16
3,1,2023-06-16
4,7,2023-06-16
4,11,2023-06-16
7,11,2023-06-16
8,6,2023-06-16
9,8,2023-06-16
1,2,2023-06-20
3,1,2023-06-20
4,7,2023-06-20
4,11,2023-06-20
7,11,2023-06-20
8,6,2023-06-20
9,8,2023-06-20
1,2,2023-06-23
3,1,2023-06-23
4,7,2023-06-23
4,11,2023-06-23
7,11,2023-06-23
8,6,2023-06-23
9,8,2023-06-23
1,2,2023-06-27
3,1,2023-06-27
4,7,2023-06-27
4,11,2023-06-27
7,11,2023-06-27
8,6,2023-06-27
9,8,2023-06-27
1,2,2023-06-30
3,1,2023-06-30
4,7,2023-06-30
4,11,2023-06-30
7,11,2023-06-30
8,6,2023-06-30
9,8,2023-06-30
1,2,2023-07-04
3,1,2023-07-04
4,7,2023-07-04
4,11,2023-07-04
7,11,2023-07-04
8,10,2023-07-04
9,8,2023-07-04
1,2,2023-07-07
3,1,2023-07-07
4,7,2023-07-07
4,11,2023-07-07
7,11,2023-07-07
8,10,2023-07-07
9,8,2023-07-07
1,2,2023-07-11
3,1,2023-07-11
4,7,2023-07-11
4,11,2023-07-11
7,11,2023-07-11
8,10,2023-07-11
9,8,2023-07-11
1,2,2023-07-14
3,1,2023-07-14
4,7,2023-07-14
4,11,2023-07-14
7,11,2023-07-14
8,10,2023-07-14
9,8,2023-07-14
1,2,2023-07-18
3,1,2023-07-18
4,7,2023-07-18
4,11,2023-07-18
7,11,2023-07-18
8,10,2023-07-18
9,8,2023-07-18
1,2,2023-07-21
3,1,2023-07-21
4,7,2023-07-21
4,11,2023-07-21
7,11,2023-07-21
8,10,2023-07-21
9,8,2023-07-21
1,2,2023-07-25
3,1,2023-07-25
4,7,2023-07-25
4,11,2023-07-25
7,11,2023-07-25
8,10,2023-07-25
9,8,2023-07-25
1,2,2023-07-28
3,1,2023-07-28
4,7,2023-07-28
4,11,2023-07-28
7,11,2023-07-28
8,10,2023-07-28
9,8,2023-07-28
1,2,2023-08-01
3,1,2023-08-01
4,7,2023-08-01
4,11,2023-08-01
7,11,2023-08-01
8,10,2023-08-01
9,8,2023-08-01
1,2,2023-08-04
3,1,2023-08-04
4,7,2023-08-04
4,11,2023-08-04
7,11,2023-08-04
8,10,2023-08-04
9,8,2023-08-04
1,2,2023-08-08
3,1,2023-08-08
4,7,2023-08-08
4,11,2023-08-08
7,11,2023-08-08
8,10,2023-08-08
9,8,2023-08-08
1,2,2023-08-11
3,1,2023-08-11
4,7,2023-08-11
4,11,2023-08-11
7,11,2023-08-11
8,10,2023-08-11
9,8,2023-08-11
1,2,2023-08-15
3,1,2023-08-15
4,7,2023-08-15
4,11,2023-08-15
7,11,2023-08-15
8,10,2023-08-15
9,8,2023-08-15
1,2,2023-08-18
3,1,2023-08-18
4,7,2023-08-18
4,11,2023-08-18
7,11,2023-08-18
8,10,2023-08-18
9,8,2023-08-18
1,2,2023-08-22
3,1,2023-08-22
4,7,2023-08-22
4,11,2023-08-22
7,11,2023-08-22
8,10,2023-08-22
9,8,2023-08-22
1,2,2023-08-25
3,1,2023-08-25
4,7,2023-08-25
4,11,2023-08-25
7,11,2023-08-25
8,10,2023-08-25
9,8,2023-08-25
1,2,2023-08-29
3,1,2023-08-29
4,7,2023-08-29
4,11,2023-08-29
7,11,2023-08-29
8,10,2023-08-29
9,8,2023-08-29
1,2,2023-09-01
3,1,2023-09-01
4,7,2023-09-01
4,11,2023-09-01
7,11,2023-09-01
8,10,2023-09-01
9,8,2023-09-01
1,2,2023-09-05
3,1,2023-09-05
4,7,2023-09-05
4,11,2023-09-05
7,11,2023-09-05
8,10,2023-09-05
9,8,2023-09-05
1,2,2023-09-08
3,1,2023-09-08
4,7,2023-09-08
4,11,2023-09-08
7,11,2023-09-08
8,10,2023-09-08
9,8,2023-09-08
1,2,2023-09-12
3,1,2023-09-12
4,7,2023-09-12
4,11,2023-09-12
7,11,2023-09-12
8,10,2023-09-12
9,8,2023-09-12
1,2,2023-09-15
3,1,2023-09-15
4,7,2023-09-15
4,11,2023-09-15
7,11,2023-09-15
8,10,2023-09-15
9,8,2023-09-15
1,2,2023-09-19
3,1,2023-09-19
4,7,2023-09-19
4,11,2023-09-19
7,11,2023-09-19
8,10,2023-09-19
9,8,2023-09-19
1,2,2023-09-22
3,1,2023-09-22
4,7,2023-09-22
4,11,2023-09-22
7,11,2023-09-22
8,10,2023-09-22
9,8,2023-09-22
1,2,2023-09-26
3,1,2023-09-26
4,7,2023-09-26
4,11,2023-09-26
7,11,2023-09-26
8,10,2023-09-26
9,8,2023-09-26
1,2,2023-09-29
3,1,2023-09-29
4,7,2023-09-29
4,11,2023-09-29
7,11,2023-09-29
8,10,2023-09-29
9,8,2023-09-29
1,2,2023-10-03
3,1,2023-10-03
4,7,2023-10-03
4,11,2023-10-03
7,11,2023-10-03
8,10,2023-10-03
9,8,2023-10-03
1,2,2023-10-06
3,1,2023-10-06
4,7,2023-10-06
7,11,2023-10-06
8,6,2023-10-06
9,8,2023-10-06
1,2,2023-10-10
3,1,2023-10-10
4,7,2023-10-10
7,11,2023-10-10
8,6,2023-10-10
9,8,2023-10-10
1,2,2023-10-13
3,1,2023-10-13
7,11,2023-10-13
8,7,2023-10-13
9,8,2023-10-13